departamento;municipio;armas medios;cantidad;dia;mes;periodo;diasem
sucre;galeras;arma de fuego;1;2;6;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;3;4;6;2015;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;24;6;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;6;2015;5
cordoba;cienaga de oro;arma de fuego;1;1;7;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;7;7;2015;3
antioquia;ciudad bolivar;contundentes;1;13;7;2015;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;15;7;2015;4
valle;cali (ct);arma de fuego;1;22;7;2015;4
valle;jamundi;arma de fuego;1;24;7;2015;6
antioquia;medellin (ct);arma de fuego;1;30;7;2015;5
antioquia;medellin (ct);sin empleo de armas;1;3;8;2015;2
risaralda;dosquebradas;arma de fuego;1;4;8;2015;3
magdalena;cerro san antonio;contundentes;1;9;8;2015;1
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;8;2015;2
antioquia;medellin (ct);arma de fuego;1;11;8;2015;3
cesar;aguachica;arma de fuego;1;18;8;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;8;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;8;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;8;2015;4
valle;cali (ct);arma de fuego;1;1;9;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;2;9;2015;4
risaralda;pereira (ct);arma de fuego;1;2;9;2015;4
antioquia;fredonia;arma de fuego;1;5;9;2015;7
guajira;riohacha (ct);arma de fuego;1;8;9;2015;3
antioquia;caldas;arma de fuego;1;12;9;2015;7
antioquia;la estrella;contundentes;1;13;9;2015;1
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;16;9;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma blanca / cortopunzante;1;17;9;2015;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;9;2015;6
antioquia;caldas;arma de fuego;1;22;9;2015;3
meta;villavicencio (ct);arma de fuego;1;22;9;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;9;2015;7
valle;cali (ct);arma de fuego;1;30;9;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;6;10;2015;3
cundinamarca;fusagasuga;arma de fuego;1;9;10;2015;6
cundinamarca;soacha;arma de fuego;1;9;10;2015;6
antioquia;bello;arma de fuego;1;13;10;2015;3
magdalena;fundacion;arma de fuego;1;16;10;2015;6
risaralda;pereira (ct);arma de fuego;1;16;10;2015;6
antioquia;medellin (ct);arma de fuego;1;19;10;2015;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;20;10;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;10;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;3;11;2015;3
valle;cali (ct);arma de fuego;1;4;11;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;11;11;2015;4
cesar;aguachica;arma de fuego;1;12;11;2015;5
antioquia;medellin (ct);arma de fuego;1;23;11;2015;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;11;2015;5
magdalena;santa marta (ct);arma de fuego;1;27;11;2015;6
bolivar;cartagena (ct);sin empleo de armas;1;29;11;2015;1
antioquia;amalfi;contundentes;1;2;12;2015;4
cundinamarca;la calera;contundentes;1;3;12;2015;5
